topic,statement
economy,Official GDP and inflation figures are published quarterly by national statistics offices and central banks.
economy,Reputable economic reporting cites named institutions such as the Reserve Bank or the World Bank with dated figures.
climate,Climate policy assessments are typically peer-reviewed and reference measurable emissions data over multiple years.
climate,Claims that climate change is a 'hoax' contradict the consensus of peer-reviewed scientific literature.
election,"Official election results are certified by national election commissions, not by anonymous social-media sources."
election,Credible election coverage attributes claims to named officials and verifiable records.
health,Public-health guidance is issued by recognised health ministries and references clinical trial data.
health,'Miracle cure' and 'doctors hate this trick' phrasing is a classic marker of health misinformation.
technology,Technology-sector reporting from outlets like Reuters or the Associated Press cites company filings and named spokespeople.
science,Scientific findings gain credibility when published in peer-reviewed journals with disclosed methodology.
stock market,Stock-market movements are reported with specific index values and percentage changes from named exchanges.
general,Vague sourcing such as 'people are saying' or 'sources say' without attribution is a hallmark of unreliable content.
general,"Excessive capitalisation, multiple exclamation marks, and urgency to 'share before it's deleted' indicate clickbait."
general,"Legitimate journalism includes dates, named sources, direct quotes, and verifiable statistics."
space,Space-mission updates are released by agencies such as NASA with mission identifiers and telemetry data.
cybersecurity,"Cybersecurity advisories cite CVE identifiers, affected systems, and official vendor statements."
trade,"Trade-agreement reporting references signed documents, named negotiators, and ratification timelines."
education,"Education-reform reporting cites the text of the bill, named legislators, and implementation dates."
